accuracy,loss,val_accuracy,val_loss,learning_rate,epoch,stage
0.3195488750934601,1.7913239002227783,0.5769230723381042,0.9934121370315552,9.999999747378752e-05,1,stage1
0.3308270573616028,1.598925232887268,0.5384615659713745,0.9495412111282349,9.999999747378752e-05,2,stage1
0.3458646535873413,1.6246060132980347,0.5192307829856873,0.9621797204017639,9.999999747378752e-05,3,stage1
0.39849624037742615,1.5102944374084473,0.5384615659713745,0.9968115091323853,9.999999747378752e-05,4,stage1
0.38721805810928345,1.5028198957443237,0.3461538553237915,1.1212583780288696,9.999999747378752e-05,5,stage1
0.3796992599964142,1.385340690612793,0.36538460850715637,1.1030566692352295,4.999999873689376e-05,6,stage1
0.45864662528038025,1.2053236961364746,0.36538460850715637,1.1327407360076904,4.999999873689376e-05,7,stage1
0.3947368562221527,1.424136757850647,0.36538460850715637,1.159026861190796,4.999999873689376e-05,8,stage1
0.5112782120704651,1.093732476234436,0.3461538553237915,1.1856802701950073,2.499999936844688e-05,9,stage1
0.3120300769805908,1.8336048126220703,0.5384615659713745,0.9997462034225464,9.999999747378752e-06,1,stage2
0.3345864713191986,1.7142674922943115,0.48076921701431274,1.0204800367355347,9.999999747378752e-06,2,stage2
0.3458646535873413,1.5339281558990479,0.4038461446762085,1.048978567123413,9.999999747378752e-06,3,stage2
0.34962406754493713,1.670683741569519,0.32692307233810425,1.071372628211975,9.999999747378752e-06,4,stage2
0.34210526943206787,1.7053865194320679,0.32692307233810425,1.094444751739502,4.999999873689376e-06,5,stage2
0.3684210479259491,1.541748285293579,0.2884615361690521,1.1251404285430908,4.999999873689376e-06,6,stage2
0.3233082592487335,1.6459280252456665,0.2884615361690521,1.1545660495758057,4.999999873689376e-06,7,stage2
